	evs	mae	mean_abs_fc	median_abs_fc	mse	pearsonr	pearsonr_p	r2	smse	spearmanrho	spearmanrho_p
Adrenal	0.23717858431495661	0.6123233309584717	4.1014553037880095	3.261568109833808	0.5981927907493383	0.49357421834938336	4.698408205194246e-47	0.23660101855423976	0.7628175366354639	0.4890000622975368	4.176062515028728e-44
Appendices	0.18578836680260763	0.6097652033690185	4.074814153581426	3.140259820719886	0.6197911063390359	0.4416725268285001	2.3701243925411306e-33	0.18413840645929608	0.814300685932152	0.43414157908849366	2.105396963413485e-31
Brain	0.24870835345748113	0.6380365513450512	4.348570181224935	3.5056062247978885	0.636626669147905	0.4998618914939204	1.0017579682033201e-45	0.24796103500878158	0.751253432357703	0.5005991646440824	5.264767938982354e-47
Colon	0.1887187314486571	0.5967036621877051	3.952711765020382	3.085449298532832	0.5830507734251243	0.44453571752700266	3.6964441721386374e-36	0.18768069194714582	0.811094343310085	0.43844092104308824	3.0595215056017573e-32
Duodenum	0.22409492557239155	0.5971341173252538	3.9571515063597653	3.098240164282183	0.5784930660896705	0.4850690421894853	1.1155481791349153e-44	0.2230412182962566	0.7752900425580151	0.47500835063940083	8.673551466262716e-40
Endometrium	0.21080644089121975	0.5874726576120037	3.869097598822146	3.0566229765096757	0.5621675151059119	0.46789216567165226	5.464426149200153e-39	0.20975712566694807	0.7893639284211796	0.46191267253582835	5.967172423320567e-36
Esophagus	0.2024935296720917	0.6271206578275549	4.238086089790349	3.2661379796292067	0.6376529853033478	0.45704880932438813	4.194890535767329e-35	0.2017019442412314	0.797683535388354	0.45328513333771137	5.017276116957887e-34
Fallopiantube	0.21687873610179698	0.5895327237213255	3.8885535632111647	3.0540627174136907	0.5736993436725374	0.47691889251143127	1.9346516716981204e-41	0.21620997258956415	0.7834379452500875	0.4678808781716916	2.1773905510425367e-40
Fat	0.2036846594223977	0.6416385953602203	4.388545575099174	3.4609510292557966	0.6616608815398807	0.4621603068352373	5.394520445474331e-32	0.20190591782025388	0.7959427420210009	0.45500516076966824	3.9466517951695234e-29
Gallbladder	0.2149374425174706	0.6261519326897609	4.229972788964107	3.25696701892146	0.6360682679020182	0.4743614765964569	6.485519063941288e-38	0.21353005515890824	0.7850724948783788	0.4660944858658804	3.2326208964759276e-37
Heart	0.18750045870737822	0.6361205081675013	4.327690987247925	3.3978112581615014	0.6472758765940563	0.43821445392705327	3.7954279280709256e-29	0.18559910770013813	0.8124509354067364	0.4367488329564102	3.691793328320835e-27
Kidney	0.2545811252637003	0.6410671126898583	4.383858291117141	3.488355973041558	0.6551805100887759	0.5103661447604944	5.240260395065987e-47	0.25332223589072256	0.7456366103666137	0.5066847269288999	2.836927048878286e-46
Liver	0.21352315758699109	0.6138390665671659	4.113678687094265	3.249693913490649	0.6027808810085886	0.4695738492239398	3.146823399557443e-39	0.21280377684117874	0.7865453233865237	0.46492979054179473	1.6845229415382776e-37
Lung	0.20595523558188905	0.611883763613681	4.0982126308769455	3.2020928698056332	0.614520600289852	0.47561437996472933	1.5301160720885642e-42	0.2051146448359887	0.7938699580255688	0.4567231486082293	1.0914594762116833e-38
Lymphnode	0.2382972707699751	0.6188659512218998	4.162650462704824	3.2697525402251606	0.6266948460179653	0.5000101600262483	3.3117393165839563e-43	0.2370008170739518	0.760982701292708	0.49075917938849756	7.175787724670219e-41
Ovary	0.18932305917547715	0.6236349199704996	4.206111483152706	3.275372519435763	0.6317635173269359	0.4425957293623326	7.947455324428544e-31	0.18787538611735535	0.8108766340521681	0.4377928948712122	1.3397777867083722e-31
Pancreas	0.18591945402225657	0.6425029518388271	4.3923007968412495	3.465407802970583	0.6643808522940654	0.44425555061032007	3.798034328517906e-32	0.18539354673963276	0.814132968888339	0.435950928517303	3.6647538097072897e-29
Placenta	0.21147895971719954	0.6192982432814057	4.164019902561273	3.2658316841336648	0.6258469961285263	0.47160483365458256	2.785182994632667e-37	0.21045426459858158	0.788373063106089	0.4623083718230652	4.352911837112921e-38
Prostate	0.19831931689665808	0.619231718876275	4.165632273735377	3.316243996952882	0.6185922785826833	0.45609984054882374	8.46879827978174e-34	0.1972656074929295	0.8017751600524952	0.44817908885897717	1.064740505150177e-33
Rectum	0.23269513496114608	0.6040375856722635	4.023107307796039	3.2098806202904306	0.5899744359502581	0.4865364459099665	2.5312642995853157e-40	0.23098995430796795	0.7676997712524265	0.48428495821761147	8.360579679911154e-39
Salivarygland	0.2456163863840058	0.6473146335653016	4.440491886291646	3.4589502187705	0.6757142885008852	0.5032420438766014	7.815954705506032e-47	0.24481097382130082	0.7540307176331058	0.49818955405578125	3.88505558885171e-45
Smallintestine	0.22454061355101454	0.5809985664504542	3.812942914345591	3.0438279521022014	0.5426966447241404	0.4827684445508704	4.953583764170165e-41	0.22230560804419977	0.7754982636684564	0.47576842149445236	6.48964414624341e-39
Smoothmuscle	0.21340415243980254	0.6464778316210867	4.433895581396177	3.5062860910273743	0.6680742213330318	0.4663316968445863	3.870399540600651e-39	0.21257432932407902	0.786077260295325	0.4653500965140207	2.2741800910620237e-38
Spleen	0.22910443021685595	0.6153492366011626	4.125653395026366	3.2667086849092173	0.6094068618733625	0.48538285421542016	5.242644930599724e-41	0.22777326932967465	0.7711239409924369	0.48120331287946294	4.504404557702347e-40
Stomach	0.2286188344142966	0.6049043544492347	4.029245105838379	3.1713204135666637	0.5927007086670171	0.48654403725210776	1.885373900347464e-44	0.22806919962459665	0.771282430146641	0.479930287193958	2.1097388310051354e-43
Testis	0.23172646125577048	0.6189195611178278	4.161429894870217	3.2943634229899446	0.6154453678151343	0.4898717785379622	4.787612585105729e-47	0.23095961243426824	0.7679475151815951	0.483268085466523	2.2304341495084377e-46
Thyroid	0.23763659228351286	0.6369358600865679	4.335547455596613	3.4676176889766124	0.6481456872738474	0.4935156092118467	8.690542401867121e-43	0.2356292116424683	0.7629215836076113	0.4897784253654497	3.0609705584122575e-44
Tonsil	0.2443204899302978	0.5843859136319097	3.842426661454907	3.094065795478082	0.5489631991427075	0.5037959544469303	2.5260155274738988e-42	0.24345506168102773	0.7557452055994233	0.49626807971415043	1.4921463477904019e-37
Urinarybladder	0.19798170595631423	0.6273180690823706	4.241875358943259	3.2512010883811344	0.6422464582263225	0.4585427515891974	2.6629517016360133e-36	0.19507501070561664	0.8024494307748284	0.4480585084787288	3.2289046506188876e-34
